componente,ano4,codusu,nro_hogar,Sexo,ch06,ch07,ch08,nivel_ed,estado,cat_ocup,cat_inac,itf,ipcf,pp07h,pp03c,p47t,p21,pp03g,Edad,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre
1.0,2005,125814,1.0,Varón,46,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,2400.0,480.0,Sí,...un sólo empleo/ocupación/actividad?,2400.0,2400.0,No,46 a 60 años,1.0,3.9299999999999997,805.9250999999999,0
2.0,2005,125814,1.0,Mujer,32,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Ama de casa,2400.0,480.0,,,0.0,0.0,,30 a 45 años,0.77,3.9299999999999997,805.9250999999999,0
3.0,2005,125814,1.0,Varón,14,Soltero,Obra social (incluye PAMI),Primaria Completa,Inactivo,,Estudiante,2400.0,480.0,,,0.0,0.0,,14 años,0.96,3.9299999999999997,805.9250999999999,0
4.0,2005,125814,1.0,Varón,9,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,2400.0,480.0,,,0.0,0.0,,9 años,0.69,3.9299999999999997,805.9250999999999,0
5.0,2005,125814,1.0,Mujer,3,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,2400.0,480.0,,,0.0,0.0,,3 años,0.51,3.9299999999999997,805.9250999999999,0
1.0,2005,125969,1.0,Varón,62,Casado,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,300.0,150.0,,...un sólo empleo/ocupación/actividad?,300.0,300.0,No,61 a 75 años,0.83,1.5899999999999999,326.06129999999996,1
2.0,2005,125969,1.0,Mujer,59,Casado,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,300.0,150.0,,,0.0,0.0,,46 a 60 años,0.76,1.5899999999999999,326.06129999999996,1
1.0,2005,126039,1.0,Mujer,75,Viudo,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,830.0,830.0,No,...un sólo empleo/ocupación/actividad?,830.0,80.0,No,61 a 75 años,0.67,0.67,137.39690000000002,0
1.0,2005,126757,1.0,Varón,39,Casado,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,700.0,140.0,,...un sólo empleo/ocupación/actividad?,700.0,700.0,No,30 a 45 años,1.0,4.48,918.7136,1
2.0,2005,126757,1.0,Mujer,36,Casado,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,700.0,140.0,,,0.0,0.0,,30 a 45 años,0.77,4.48,918.7136,1
3.0,2005,126757,1.0,Varón,17,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,700.0,140.0,,,0.0,0.0,,17 años,1.04,4.48,918.7136,1
4.0,2005,126757,1.0,Mujer,16,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,700.0,140.0,,,0.0,0.0,,16 años,0.77,4.48,918.7136,1
5.0,2005,126757,1.0,Varón,13,Soltero,No paga ni le descuentan,Primaria Completa,Inactivo,,Estudiante,700.0,140.0,,,0.0,0.0,,13 años,0.9,4.48,918.7136,1
