componente,ano4,codusu,nro_hogar,Sexo,ch06,ch07,ch08,nivel_ed,estado,cat_ocup,cat_inac,itf,ipcf,pp07h,pp03c,p47t,p21,pp03g,Edad,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre,edad2,ch10,ch12,ch13,ch14,educ,itf_2025,linea_pobreza,pp3e_tot,pp3f_tot,ch03,horastrab,ix_tot
1.0,2005,125814,1,Varón,46,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,2400.0,480.0,Sí,...un sólo empleo/ocupación/actividad?,2400.0,2400.0,No,46 a 60 años,1.0,3.93,805.9250999999999,0,2116,2,4,2,2.0,10.0,2518778.114017912,845811.0430907072,48.0,0.0,1,48.0,5.0
2.0,2005,125814,1,Mujer,32,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Ama de casa,2400.0,480.0,,,0.0,0.0,,30 a 45 años,0.77,3.93,805.9250999999999,0,1024,2,4,2,2.0,10.0,2518778.114017912,845811.0430907072,0.0,0.0,2,0.0,5.0
3.0,2005,125814,1,Varón,14,Soltero,Obra social (incluye PAMI),Primaria Completa,Inactivo,,Estudiante,2400.0,480.0,,,0.0,0.0,,14 años,0.96,3.93,805.9250999999999,0,196,1,3,2,7.0,8.0,2518778.114017912,845811.0430907072,0.0,0.0,3,0.0,5.0
4.0,2005,125814,1,Varón,9,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,2400.0,480.0,,,0.0,0.0,,9 años,0.69,3.93,805.9250999999999,0,81,1,3,2,4.0,5.0,2518778.114017912,845811.0430907072,0.0,0.0,3,0.0,5.0
5.0,2005,125814,1,Mujer,3,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,2400.0,480.0,,,0.0,0.0,,3 años,0.51,3.93,805.9250999999999,0,9,3,0,0,,0.0,2518778.114017912,845811.0430907072,0.0,0.0,3,0.0,5.0
1.0,2005,125969,1,Varón,62,Casado,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,300.0,150.0,,...un sólo empleo/ocupación/actividad?,300.0,300.0,No,61 a 75 años,0.83,1.59,326.0613,1,3844,2,1,1,,1.0,314847.264252239,342198.3609450953,24.0,0.0,1,24.0,2.0
2.0,2005,125969,1,Mujer,59,Casado,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,300.0,150.0,,,0.0,0.0,,46 a 60 años,0.76,1.59,326.0613,1,3481,2,1,1,,1.0,314847.264252239,342198.3609450953,0.0,0.0,2,0.0,2.0
1.0,2005,126039,1,Mujer,75,Viudo,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,830.0,830.0,No,...un sólo empleo/ocupación/actividad?,830.0,80.0,No,61 a 75 años,0.67,0.67,137.39690000000002,0,5625,2,1,1,,1.0,871077.4310978613,144196.7936057949,28.0,0.0,1,28.0,1.0
1.0,2005,126757,1,Varón,39,Casado,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,700.0,140.0,,...un sólo empleo/ocupación/actividad?,700.0,700.0,No,30 a 45 años,1.0,4.48,918.7136,1,1521,2,1,1,,1.0,734643.6165885577,964181.5453044195,48.0,0.0,1,48.0,5.0
2.0,2005,126757,1,Mujer,36,Casado,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,700.0,140.0,,,0.0,0.0,,30 a 45 años,0.77,4.48,918.7136,1,1296,2,1,1,,1.0,734643.6165885577,964181.5453044195,0.0,0.0,2,0.0,5.0
