ano4,codusu,nro_hogar,componente,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_ocup,cat_inac,itf,ipcf,pp07h,pp03c,p47t,p21,pp03g
2005.0,132296  ,1.0,1.0,Varón,43,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2005.0,132296  ,1.0,2.0,Mujer,38,Casado,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2005.0,132296  ,1.0,3.0,Mujer,13,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2005.0,185239  ,1.0,1.0,Mujer,66,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2005.0,206908  ,1.0,1.0,Varón,36,Unido,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,0.0,0.0,No,...un sólo empleo/ocupación/actividad?,0.0,0.0,No
2005.0,219872  ,1.0,1.0,Varón,40,Soltero,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,0.0,0.0,No,,0.0,0.0,No
2005.0,158818  ,1.0,1.0,Varón,45,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Patrón,,0.0,0.0,,...un sólo empleo/ocupación/actividad?,0.0,0.0,No
2005.0,158818  ,1.0,2.0,Mujer,45,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Inactivo,,Otros,0.0,0.0,,,0.0,0.0,
2005.0,158818  ,1.0,3.0,Mujer,13,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2005.0,158818  ,1.0,4.0,Varón,11,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2005.0,161002  ,1.0,1.0,Varón,39,Casado,No paga ni le descuentan,Secundaria Completa,Inactivo,,Otros,0.0,0.0,,,0.0,0.0,
2005.0,161002  ,1.0,2.0,Mujer,45,Casado,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2005.0,161002  ,1.0,3.0,Varón,16,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2005.0,161002  ,1.0,4.0,Varón,14,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2005.0,197933  ,1.0,1.0,Varón,62,Casado,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Cuenta propia,,0.0,0.0,,...un sólo empleo/ocupación/actividad?,0.0,0.0,No
2005.0,197933  ,1.0,2.0,Mujer,56,Casado,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Discapacitado,0.0,0.0,,,0.0,0.0,
2005.0,224231  ,2.0,1.0,Varón,60,Separado o divorciado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Desocupado,Cuenta propia,,0.0,0.0,,,0.0,0.0,
2005.0,199981  ,1.0,1.0,Varón,65,Separado o divorciado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2005.0,202375  ,1.0,1.0,Varón,45,Separado o divorciado,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Obrero o empleado,,0.0,0.0,Sí,...un sólo empleo/ocupación/actividad?,0.0,0.0,No
2005.0,202375  ,1.0,2.0,Varón,55,Separado o divorciado,Obra social (incluye PAMI),Primaria Completa,,,,0.0,0.0,,,0.0,0.0,
2005.0,234222  ,1.0,1.0,Varón,24,Unido,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,0.0,0.0,Sí,...un sólo empleo/ocupación/actividad?,0.0,0.0,No
2005.0,234222  ,1.0,2.0,Mujer,26,Unido,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2005.0,234222  ,1.0,3.0,Mujer,0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNOQPYHLMKOCDEIHJF00854750,1.0,3.0,Varón,10,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNOQPYHLMKOCDEIHJF00854750,1.0,4.0,Mujer,13,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNOPYXHJOKMCDEOJAH00875900,1.0,1.0,Varón,58,Soltero,No paga ni le descuentan,Secundaria Completa,Inactivo,,Ama de casa,0.0,0.0,,,400000.0,0.0,
2025.0,TQRMNOPYXHJOKMCDEOJAH00875900,1.0,2.0,Mujer,60,Soltero,Obra social (incluye PAMI),Secundaria Completa,Inactivo,,Ama de casa,0.0,0.0,,,400000.0,0.0,
2025.0,TQRMNOTTTHMOKQCDEFPCH00877924,1.0,2.0,Mujer,57,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNOTTTHMOKQCDEFPCH00877924,1.0,3.0,Varón,32,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,Obrero o empleado,,0.0,0.0,No,...un sólo empleo/ocupación/actividad?,614400.0,614400.0,No
2025.0,TQRMNOTTTHMOKQCDEFPCH00877924,1.0,4.0,Mujer,21,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNORWSHJMKPCDEFPCH00876129,1.0,2.0,Mujer,23,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,,Estudiante,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNOTUSHMMKQCDEHGHJ00877609,1.0,2.0,Mujer,26,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,Obrero o empleado,,0.0,0.0,Sí,...un sólo empleo/ocupación/actividad?,235000.0,200000.0,No
2025.0,TQRMNOPRUHJOKMCDEGNFJ00876222,1.0,2.0,Varón,46,Soltero,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNOUXYHLKKNCDEGNFJ00853366,1.0,3.0,Mujer,21,Soltero,Obra social (incluye PAMI),Secundaria Completa,Inactivo,,Ama de casa,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNORURHMNKSCDEOHCH00877614,1.0,1.0,Mujer,58,Soltero,Obra social (incluye PAMI),Primaria Completa,Inactivo,,Otros,0.0,0.0,,,300000.0,0.0,
2025.0,TQRMNORURHMNKSCDEOHCH00877614,1.0,3.0,Mujer,26,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Ama de casa,0.0,0.0,,,300000.0,0.0,
2025.0,TQRMNORURHMNKSCDEOHCH00877614,1.0,4.0,Varón,21,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Otros,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNORURHMNKSCDEOHCH00877614,1.0,5.0,Mujer,3,Soltero,No paga ni le descuentan,Sin instrucción,,,Menor de 6 años,0.0,0.0,,,0.0,0.0,
2025.0,TQRMNOTPTHJNLMCDEHGHJ00875923,1.0,1.0,Varón,84,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,,Jubilado/pensionado,0.0,0.0,,,1500000.0,0.0,
