ch06,Sexo_Varón,educ,estado_Ocupado,cobertura_medica_tiene,pobre,estado_civil_no_casado,jefe_ocupado,educ_jefe,jefe_mujer,ninos_hogar
48,0,19.0,1,1,1,1,1,19.0,1,1
17,1,13.0,0,1,1,1,1,19.0,1,1
9,1,4.0,0,1,1,1,1,19.0,1,1
39,1,11.0,1,0,0,1,1,11.0,0,0
36,0,13.0,1,1,0,1,1,13.0,1,0
30,1,13.0,1,1,0,1,1,13.0,0,0
54,0,13.0,1,1,0,1,1,13.0,1,0
29,0,15.0,1,1,0,1,1,15.0,1,0
4,1,0.0,0,0,1,1,0,10.0,1,4
41,0,13.0,1,1,0,1,1,13.0,1,1
12,1,9.0,0,1,0,1,1,13.0,1,1
24,1,13.0,1,1,0,1,1,13.0,1,1
63,0,8.0,0,1,0,1,0,8.0,1,0
50,1,13.0,1,0,0,1,0,8.0,1,0
47,1,15.0,1,1,0,1,1,15.0,0,0
18,0,12.0,0,1,0,1,1,15.0,0,0
18,1,12.0,0,0,0,1,1,15.0,0,0
46,0,16.0,1,1,0,1,1,16.0,1,0
17,1,13.0,0,1,0,1,1,16.0,1,0
89,1,11.0,0,1,0,0,0,11.0,0,0
74,0,8.0,0,1,0,0,0,11.0,0,0
86,0,13.0,0,1,0,1,0,13.0,1,0
44,1,23.0,1,1,0,1,1,23.0,0,1
44,0,19.0,1,1,0,1,1,23.0,0,1
5,0,1.0,0,1,0,1,1,23.0,0,1
60,0,8.0,1,1,0,1,1,8.0,1,0
70,0,16.0,0,1,0,0,0,16.0,1,0
48,1,13.0,1,0,0,1,1,13.0,0,0
39,0,16.0,1,0,0,1,1,16.0,1,0
33,1,16.0,1,1,0,1,1,16.0,1,0
17,1,13.0,0,0,0,1,1,16.0,1,0
46,1,13.0,1,1,0,1,1,13.0,0,0
42,1,13.0,1,1,0,1,1,13.0,0,0
52,0,16.0,1,1,0,0,1,16.0,1,0
53,1,14.0,1,1,0,0,1,16.0,1,0
21,1,14.0,0,1,0,1,1,16.0,1,0
18,0,13.0,0,1,0,1,1,16.0,1,0
72,1,16.0,1,1,0,0,0,16.0,1,0
45,1,12.0,1,0,1,1,1,12.0,0,1
4,0,0.0,0,0,1,1,1,12.0,0,1
38,0,13.0,0,0,0,1,0,13.0,1,2
3,1,0.0,0,1,0,1,0,13.0,1,2
13,1,9.0,0,1,0,1,0,13.0,1,2
74,0,13.0,0,1,0,1,0,13.0,1,0
48,0,13.0,1,1,0,1,1,13.0,1,0
18,1,12.0,0,1,0,1,1,13.0,1,0
60,0,3.0,1,1,1,1,1,3.0,1,2
31,0,11.0,1,1,1,1,1,3.0,1,2
20,0,13.0,0,0,1,1,1,3.0,1,2
70,1,13.0,0,1,0,0,0,13.0,0,0
67,0,15.0,0,1,0,0,0,13.0,0,0
42,1,13.0,1,1,0,1,1,13.0,0,0
72,1,19.0,0,1,0,0,0,19.0,0,0
68,0,13.0,0,1,0,0,0,19.0,0,0
71,0,6.0,0,1,0,1,0,6.0,1,0
33,0,15.0,1,1,0,1,1,15.0,1,1
9,0,3.0,0,1,0,1,1,15.0,1,1
65,1,7.0,0,1,1,0,0,7.0,0,0
63,0,7.0,0,1,1,0,0,7.0,0,0
19,1,13.0,0,0,1,1,0,7.0,0,0
44,1,13.0,1,1,0,1,1,13.0,0,0
46,0,19.0,1,1,0,1,1,19.0,1,0
19,0,13.0,0,1,0,1,1,19.0,1,0
16,1,11.0,0,1,0,1,1,19.0,1,0
65,0,11.0,0,1,0,1,0,11.0,1,0
11,1,6.0,0,1,1,1,1,3.0,1,2
6,1,2.0,0,1,1,1,1,3.0,1,2
53,1,13.0,1,1,0,0,1,13.0,0,0
53,0,12.0,0,1,0,0,1,13.0,0,0
84,0,16.0,0,1,0,1,0,16.0,1,0
43,1,13.0,1,1,0,1,1,13.0,0,0
30,0,10.0,1,1,0,1,1,10.0,1,0
36,0,13.0,1,1,0,1,1,10.0,1,0
28,0,1.0,0,1,0,1,0,1.0,1,0
31,1,8.0,1,1,0,1,0,1.0,1,0
63,0,13.0,0,1,0,0,0,13.0,1,1
29,0,13.0,1,1,0,1,0,13.0,1,1
4,0,0.0,0,1,0,1,0,13.0,1,1
84,0,2.0,0,1,0,1,0,2.0,1,0
19,0,13.0,1,0,0,1,0,2.0,1,0
75,0,8.0,0,1,0,1,0,8.0,1,0
79,0,8.0,0,1,0,0,0,8.0,1,0
73,1,2.0,0,1,0,0,0,8.0,1,0
48,1,13.0,1,1,0,0,1,13.0,0,0
49,0,13.0,0,1,0,0,1,13.0,0,0
18,0,13.0,0,1,0,1,1,13.0,0,0
39,0,19.0,1,1,0,1,1,19.0,1,1
13,0,9.0,0,1,0,1,1,19.0,1,1
33,1,13.0,1,1,0,0,1,13.0,0,2
31,0,13.0,1,1,0,0,1,13.0,0,2
12,0,6.0,0,1,0,1,1,13.0,0,2
3,1,0.0,0,1,0,1,1,13.0,0,2
5,0,0.0,0,0,1,1,1,10.0,0,2
33,1,10.0,1,0,1,1,1,10.0,0,2
28,0,16.0,0,0,1,1,1,10.0,0,2
9,0,5.0,0,0,1,1,1,10.0,0,2
67,1,8.0,0,1,0,1,0,8.0,0,0
22,1,13.0,0,0,0,1,0,8.0,0,0
93,0,8.0,0,1,0,1,0,8.0,1,1
31,0,16.0,1,1,0,1,1,16.0,1,0
21,0,13.0,1,1,0,1,1,16.0,1,0
51,0,13.0,0,1,0,1,1,16.0,1,0
52,1,16.0,1,1,0,1,1,16.0,0,1
68,0,11.0,0,1,0,0,0,11.0,1,0
68,1,8.0,1,1,0,0,0,11.0,1,0
23,0,13.0,0,1,0,1,0,13.0,1,1
26,1,16.0,1,1,0,1,0,13.0,1,1
1,0,0.0,0,1,0,1,0,13.0,1,1
72,0,10.0,1,1,0,1,1,10.0,1,0
28,1,13.0,1,0,0,1,1,10.0,1,0
27,1,13.0,1,0,0,1,1,10.0,1,0
26,1,13.0,0,0,0,1,1,10.0,1,0
18,1,13.0,0,1,0,1,1,10.0,1,0
24,0,15.0,1,0,0,1,0,8.0,1,1
21,0,13.0,0,0,0,1,0,8.0,1,1
3,0,0.0,0,0,0,1,0,8.0,1,1
52,1,8.0,0,0,0,1,0,8.0,1,1
54,1,8.0,1,0,0,1,1,8.0,0,0
62,1,17.0,0,0,0,0,0,17.0,0,0
32,1,0.0,0,1,0,1,0,17.0,0,0
64,0,19.0,0,1,0,0,0,17.0,0,0
84,0,8.0,0,1,0,1,0,8.0,1,0
72,0,19.0,0,1,0,1,0,19.0,1,0
74,0,15.0,1,1,0,1,1,15.0,1,0
13,1,8.0,0,1,0,1,1,16.0,0,1
64,1,8.0,0,1,0,0,0,8.0,0,0
66,0,8.0,0,1,0,0,0,8.0,0,0
51,1,19.0,1,1,0,1,1,19.0,0,0
28,0,13.0,1,1,0,1,1,13.0,1,1
7,0,2.0,0,1,0,1,1,13.0,1,1
49,0,13.0,1,1,0,1,1,13.0,1,0
22,1,15.0,0,1,0,1,1,13.0,1,0
42,0,16.0,1,1,0,0,1,16.0,1,1
44,1,13.0,1,1,0,0,1,16.0,1,1
28,1,8.0,1,0,1,1,1,8.0,0,2
30,0,13.0,1,0,1,1,1,8.0,0,2
15,1,10.0,0,1,1,1,1,8.0,0,2
10,0,6.0,0,0,1,1,1,8.0,0,2
2,0,0.0,0,1,1,1,1,8.0,0,2
32,1,16.0,1,1,0,1,1,16.0,0,0
46,1,12.0,1,0,0,1,1,12.0,0,1
43,0,13.0,0,0,0,1,1,12.0,0,1
6,1,2.0,0,1,0,1,1,12.0,0,1
63,0,8.0,0,0,0,0,0,8.0,1,0
73,1,6.0,0,1,0,0,0,6.0,0,0
60,0,8.0,0,1,0,0,0,6.0,0,0
59,0,13.0,0,1,0,1,0,13.0,1,0
34,1,8.0,1,1,0,1,0,13.0,1,0
80,0,8.0,0,1,1,1,0,8.0,1,0
24,0,15.0,0,1,0,1,1,16.0,1,1
20,1,13.0,0,1,0,1,1,16.0,1,1
5,1,0.0,0,1,0,1,1,16.0,1,1
40,0,12.0,1,1,0,1,1,12.0,1,0
44,1,10.0,1,1,0,1,1,12.0,1,0
61,1,13.0,0,1,0,1,0,13.0,0,0
37,0,13.0,1,1,0,1,0,13.0,0,0
61,0,10.0,0,1,0,1,0,10.0,1,0
41,1,0.0,0,1,0,1,0,10.0,1,0
28,0,14.0,1,1,0,1,1,14.0,1,1
9,0,4.0,0,1,0,1,1,14.0,1,1
30,1,10.0,1,1,0,1,1,14.0,1,1
31,1,8.0,1,0,0,1,0,13.0,1,0
53,0,19.0,0,1,0,1,0,19.0,1,0
47,1,19.0,1,1,0,1,0,19.0,1,0
67,1,10.0,0,1,0,1,0,10.0,0,0
